Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,1.2111,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2009:Q4
2010-04-21,0.9515,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q1
2010-07-21,1.3467,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q2
2010-10-20,1.3745,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q3
2011-01-26,1.2108,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q4
2011-04-20,1.0819,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q1
2011-07-20,1.38,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q2
2011-10-19,1.4611,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q3
2012-01-25,1.4071,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q4
2012-04-24,1.1021,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q1
2012-07-26,1.601,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q2
2012-10-23,1.3982,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q3
2013-01-23,1.335,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q4
2013-04-23,1.296,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q1
2013-07-23,1.6738,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q2
2013-10-22,1.6147,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q3
2014-01-22,1.6438,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q4
2014-04-22,1.4105,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q1
2014-07-22,1.4411,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q2
2014-10-21,1.8954,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q3
2015-01-26,1.5977,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q4
2015-04-21,1.4863,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q1
2015-07-21,1.667,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q2
2015-10-20,1.5762,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q3
2016-01-27,1.4633,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q4
2016-04-27,1.5086,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2016:Q1
2016-07-26,1.6044,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2016:Q2
2016-10-25,1.7643,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2016:Q3
