Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,-0.2496,Oil&Gas,Energy,Oil Refining&Marketing,2009:Q4
2010-04-27,-0.1851,Oil&Gas,Energy,Oil Refining&Marketing,2010:Q1
2010-07-27,0.9223,Oil&Gas,Energy,Oil Refining&Marketing,2010:Q2
2010-10-26,0.5083,Oil&Gas,Energy,Oil Refining&Marketing,2010:Q3
2011-01-26,0.4776,Oil&Gas,Energy,Oil Refining&Marketing,2010:Q4
2011-04-26,0.5283,Oil&Gas,Energy,Oil Refining&Marketing,2011:Q1
2011-07-26,1.3668,Oil&Gas,Energy,Oil Refining&Marketing,2011:Q2
2011-11-01,2.0163,Oil&Gas,Energy,Oil Refining&Marketing,2011:Q3
2012-01-31,0.0742,Oil&Gas,Energy,Oil Refining&Marketing,2011:Q4
2012-05-01,0.1467,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q1
2012-07-31,0.8172,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q2
2012-10-30,2.1161,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q3
2013-01-29,1.9942,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q4
2013-04-30,1.1227,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q1
2013-07-23,0.5399,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q2
2013-10-29,0.7775,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q3
2014-01-29,1.7888,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q4
2014-04-29,1.54,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q1
2014-07-30,1.4196,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q2
2014-11-04,1.4996,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q3
2015-01-29,1.4777,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q4
2015-04-28,1.87,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q1
2015-07-30,2.66,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q2
2015-10-28,2.79,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q3
2016-01-28,0.62,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q4
2016-05-03,1.05,Oil&Gas,Energy,Oil Refining&Marketing,2016:Q1
2016-07-26,1.8491,Oil&Gas,Energy,Oil Refining&Marketing,2016:Q2
2016-10-25,1.4213,Oil&Gas,Energy,Oil Refining&Marketing,2016:Q3
