Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-26,0.4586,Telecommunications,Communications,Telephone-Integrated,2009:Q4
2010-04-22,0.4819,Telecommunications,Communications,Telephone-Integrated,2010:Q1
2010-07-23,0.5454,Telecommunications,Communications,Telephone-Integrated,2010:Q2
2010-10-22,0.5665,Telecommunications,Communications,Telephone-Integrated,2010:Q3
2011-01-25,0.4452,Telecommunications,Communications,Telephone-Integrated,2010:Q4
2011-04-21,0.51,Telecommunications,Communications,Telephone-Integrated,2011:Q1
2011-07-22,0.57,Telecommunications,Communications,Telephone-Integrated,2011:Q2
2011-10-21,0.5567,Telecommunications,Communications,Telephone-Integrated,2011:Q3
2012-01-24,0.5157,Telecommunications,Communications,Telephone-Integrated,2011:Q4
2012-04-19,0.59,Telecommunications,Communications,Telephone-Integrated,2012:Q1
2012-07-19,0.64,Telecommunications,Communications,Telephone-Integrated,2012:Q2
2012-10-18,0.6378,Telecommunications,Communications,Telephone-Integrated,2012:Q3
2013-01-22,0.3198,Telecommunications,Communications,Telephone-Integrated,2012:Q4
2013-04-18,0.68,Telecommunications,Communications,Telephone-Integrated,2013:Q1
2013-07-18,0.73,Telecommunications,Communications,Telephone-Integrated,2013:Q2
2013-10-17,0.7688,Telecommunications,Communications,Telephone-Integrated,2013:Q3
2014-01-21,0.6609,Telecommunications,Communications,Telephone-Integrated,2013:Q4
2014-04-24,0.843,Telecommunications,Communications,Telephone-Integrated,2014:Q1
2014-07-22,0.9055,Telecommunications,Communications,Telephone-Integrated,2014:Q2
2014-10-21,0.89,Telecommunications,Communications,Telephone-Integrated,2014:Q3
2015-01-22,0.71,Telecommunications,Communications,Telephone-Integrated,2014:Q4
2015-04-21,1.02,Telecommunications,Communications,Telephone-Integrated,2015:Q1
2015-07-21,1.04,Telecommunications,Communications,Telephone-Integrated,2015:Q2
2015-10-20,1.04,Telecommunications,Communications,Telephone-Integrated,2015:Q3
2016-01-21,0.8813,Telecommunications,Communications,Telephone-Integrated,2015:Q4
2016-04-21,0.9545,Telecommunications,Communications,Telephone-Integrated,2016:Q1
2016-07-26,0.9421,Telecommunications,Communications,Telephone-Integrated,2016:Q2
2016-10-20,1.0105,Telecommunications,Communications,Telephone-Integrated,2016:Q3
