Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-25,0.0897,Lodging,"Consumer, Cyclical",Casino Hotels,2009:Q4
2010-04-29,0.2612,Lodging,"Consumer, Cyclical",Casino Hotels,2010:Q1
2010-07-29,0.496,Lodging,"Consumer, Cyclical",Casino Hotels,2010:Q2
2010-11-02,0.1622,Lodging,"Consumer, Cyclical",Casino Hotels,2010:Q3
2011-02-10,0.9055,Lodging,"Consumer, Cyclical",Casino Hotels,2010:Q4
2011-04-19,1.3854,Lodging,"Consumer, Cyclical",Casino Hotels,2011:Q1
2011-07-18,1.528,Lodging,"Consumer, Cyclical",Casino Hotels,2011:Q2
2011-10-19,1.0386,Lodging,"Consumer, Cyclical",Casino Hotels,2011:Q3
2012-02-02,1.5402,Lodging,"Consumer, Cyclical",Casino Hotels,2011:Q4
2012-05-07,1.3031,Lodging,"Consumer, Cyclical",Casino Hotels,2012:Q1
2012-07-17,1.3758,Lodging,"Consumer, Cyclical",Casino Hotels,2012:Q2
2012-10-24,1.3831,Lodging,"Consumer, Cyclical",Casino Hotels,2012:Q3
2013-01-31,1.1546,Lodging,"Consumer, Cyclical",Casino Hotels,2012:Q4
2013-04-25,2.017,Lodging,"Consumer, Cyclical",Casino Hotels,2013:Q1
2013-07-29,1.4023,Lodging,"Consumer, Cyclical",Casino Hotels,2013:Q2
2013-10-24,1.8338,Lodging,"Consumer, Cyclical",Casino Hotels,2013:Q3
2014-01-30,2.2143,Lodging,"Consumer, Cyclical",Casino Hotels,2013:Q4
2014-05-01,2.3073,Lodging,"Consumer, Cyclical",Casino Hotels,2014:Q1
2014-07-29,2.0893,Lodging,"Consumer, Cyclical",Casino Hotels,2014:Q2
2014-10-28,1.941,Lodging,"Consumer, Cyclical",Casino Hotels,2014:Q3
2015-02-03,1.1985,Lodging,"Consumer, Cyclical",Casino Hotels,2014:Q4
2015-04-28,0.6968,Lodging,"Consumer, Cyclical",Casino Hotels,2015:Q1
2015-07-29,0.7411,Lodging,"Consumer, Cyclical",Casino Hotels,2015:Q2
2015-10-15,1.0004,Lodging,"Consumer, Cyclical",Casino Hotels,2015:Q3
2016-02-11,1.0632,Lodging,"Consumer, Cyclical",Casino Hotels,2015:Q4
2016-05-05,1.0244,Lodging,"Consumer, Cyclical",Casino Hotels,2016:Q1
2016-07-28,1.2571,Lodging,"Consumer, Cyclical",Casino Hotels,2016:Q2
2016-11-02,0.712,Lodging,"Consumer, Cyclical",Casino Hotels,2016:Q3
