Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.37,Electric,Utilities,Electric-Integrated,2009:Q4
2010-04-29,0.3605,Electric,Utilities,Electric-Integrated,2010:Q1
2010-07-29,0.29,Electric,Utilities,Electric-Integrated,2010:Q2
2010-10-28,0.67,Electric,Utilities,Electric-Integrated,2010:Q3
2011-01-27,0.29,Electric,Utilities,Electric-Integrated,2010:Q4
2011-04-28,0.4185,Electric,Utilities,Electric-Integrated,2011:Q1
2011-07-28,0.33,Electric,Utilities,Electric-Integrated,2011:Q2
2011-10-27,0.69,Electric,Utilities,Electric-Integrated,2011:Q3
2012-02-02,0.29,Electric,Utilities,Electric-Integrated,2011:Q4
2012-04-26,0.3771,Electric,Utilities,Electric-Integrated,2012:Q1
2012-08-02,0.3754,Electric,Utilities,Electric-Integrated,2012:Q2
2012-10-25,0.8101,Electric,Utilities,Electric-Integrated,2012:Q3
2013-01-31,0.29,Electric,Utilities,Electric-Integrated,2012:Q4
2013-05-02,0.48,Electric,Utilities,Electric-Integrated,2013:Q1
2013-08-01,0.3955,Electric,Utilities,Electric-Integrated,2013:Q2
2013-10-24,0.7311,Electric,Utilities,Electric-Integrated,2013:Q3
2014-01-30,0.3,Electric,Utilities,Electric-Integrated,2013:Q4
2014-05-01,0.52,Electric,Utilities,Electric-Integrated,2014:Q1
2014-07-31,0.39,Electric,Utilities,Electric-Integrated,2014:Q2
2014-10-30,0.73,Electric,Utilities,Electric-Integrated,2014:Q3
2015-01-29,0.39,Electric,Utilities,Electric-Integrated,2014:Q4
2015-04-30,0.456,Electric,Utilities,Electric-Integrated,2015:Q1
2015-07-30,0.39,Electric,Utilities,Electric-Integrated,2015:Q2
2015-10-29,0.84,Electric,Utilities,Electric-Integrated,2015:Q3
2016-01-28,0.41,Electric,Utilities,Electric-Integrated,2015:Q4
2016-05-09,0.47,Electric,Utilities,Electric-Integrated,2016:Q1
2016-08-03,0.39,Electric,Utilities,Electric-Integrated,2016:Q2
2016-10-27,0.9,Electric,Utilities,Electric-Integrated,2016:Q3
