Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-01,1.27,Oil&Gas,Energy,Oil Comp-Integrated,2009:Q4
2010-04-29,1.3722,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q1
2010-07-29,1.6021,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q2
2010-10-28,1.4403,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q3
2011-01-31,1.8501,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q4
2011-04-28,2.14,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q1
2011-07-28,2.18,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q2
2011-10-27,2.13,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q3
2012-01-31,1.97,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q4
2012-04-26,2.0,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q1
2012-07-26,1.7992,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q2
2012-11-01,2.09,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q3
2013-02-01,2.0673,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q4
2013-04-25,2.12,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q1
2013-08-01,1.55,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q2
2013-10-31,1.79,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q3
2014-01-30,1.91,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q4
2014-05-01,2.1,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q1
2014-07-31,2.05,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q2
2014-10-31,1.89,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q3
2015-02-02,1.4878,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q4
2015-04-30,1.17,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q1
2015-07-31,1.0595,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q2
2015-10-30,1.01,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q3
2016-02-02,0.67,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q4
2016-04-29,0.43,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q1
2016-07-29,0.41,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q2
2016-10-28,0.63,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q3
