Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-03,0.5398,Retail,"Consumer, Cyclical",Retail-Restaurants,2009:Q4
2010-04-14,0.5094,Retail,"Consumer, Cyclical",Retail-Restaurants,2010:Q1
2010-07-13,0.6088,Retail,"Consumer, Cyclical",Retail-Restaurants,2010:Q2
2010-10-05,0.7427,Retail,"Consumer, Cyclical",Retail-Restaurants,2010:Q3
2011-02-02,0.6159,Retail,"Consumer, Cyclical",Retail-Restaurants,2010:Q4
2011-04-20,0.6336,Retail,"Consumer, Cyclical",Retail-Restaurants,2011:Q1
2011-07-13,0.6863,Retail,"Consumer, Cyclical",Retail-Restaurants,2011:Q2
2011-10-04,0.9257,Retail,"Consumer, Cyclical",Retail-Restaurants,2011:Q3
2012-02-06,0.8004,Retail,"Consumer, Cyclical",Retail-Restaurants,2011:Q4
2012-04-18,0.8635,Retail,"Consumer, Cyclical",Retail-Restaurants,2012:Q1
2012-07-18,0.7023,Retail,"Consumer, Cyclical",Retail-Restaurants,2012:Q2
2012-10-09,1.0055,Retail,"Consumer, Cyclical",Retail-Restaurants,2012:Q3
2013-02-04,0.745,Retail,"Consumer, Cyclical",Retail-Restaurants,2012:Q4
2013-04-23,0.7256,Retail,"Consumer, Cyclical",Retail-Restaurants,2013:Q1
2013-07-10,0.6184,Retail,"Consumer, Cyclical",Retail-Restaurants,2013:Q2
2013-10-08,0.76,Retail,"Consumer, Cyclical",Retail-Restaurants,2013:Q3
2014-02-03,0.8961,Retail,"Consumer, Cyclical",Retail-Restaurants,2013:Q4
2014-04-22,0.8743,Retail,"Consumer, Cyclical",Retail-Restaurants,2014:Q1
2014-07-16,0.76,Retail,"Consumer, Cyclical",Retail-Restaurants,2014:Q2
2014-10-07,0.8886,Retail,"Consumer, Cyclical",Retail-Restaurants,2014:Q3
2015-02-04,0.478,Retail,"Consumer, Cyclical",Retail-Restaurants,2014:Q4
2015-04-21,0.8071,Retail,"Consumer, Cyclical",Retail-Restaurants,2015:Q1
2015-07-14,0.7336,Retail,"Consumer, Cyclical",Retail-Restaurants,2015:Q2
2015-10-06,1.0039,Retail,"Consumer, Cyclical",Retail-Restaurants,2015:Q3
2016-02-03,0.5949,Retail,"Consumer, Cyclical",Retail-Restaurants,2015:Q4
2016-04-20,0.557,Retail,"Consumer, Cyclical",Retail-Restaurants,2016:Q1
2016-07-13,0.5883,Retail,"Consumer, Cyclical",Retail-Restaurants,2016:Q2
2016-10-05,1.0991,Retail,"Consumer, Cyclical",Retail-Restaurants,2016:Q3
